Solid waste,Unit Measure,TIME_PERIOD,OBS_VALUE
Recycled solid waste,Tons per day,2556,14146.18397
Recycled solid waste,Tons per day,2557,13728.05101
Recycled solid waste,Tons per day,2558,13531.01326
Recycled solid waste,Tons per day,2559,15904.86786
Recycled solid waste,Tons per day,2560,23317.04
Recycled solid waste,Tons per day,2561,26734.53918
Recycled solid waste,Tons per day,2562,34302.79088
Recycled solid waste,Tons per day,2563,22834.0
Recycled solid waste,Tons per day,2564,21622.0
Recycled solid waste,Tons per day,2565,24203.0
Recycled solid waste,Tons per day,2566,25510.0
Generated solid waste,Tons per day,2556,73353.95266
Generated solid waste,Tons per day,2557,71765.83553
Generated solid waste,Tons per day,2558,73557.99803
Generated solid waste,Tons per day,2559,74129.16537
Generated solid waste,Tons per day,2560,74980.03
Generated solid waste,Tons per day,2561,76528.74
Generated solid waste,Tons per day,2562,78665.17
Generated solid waste,Tons per day,2563,69322.01
Generated solid waste,Tons per day,2564,68434.0
Generated solid waste,Tons per day,2565,70411.0
Generated solid waste,Tons per day,2566,73840.0
Improperly disposed solid waste,Tons per day,2556,38725.80696
Improperly disposed solid waste,Tons per day,2557,36969.97438
Improperly disposed solid waste,Tons per day,2558,37164.37526
Improperly disposed solid waste,Tons per day,2559,32004.78271
Improperly disposed solid waste,Tons per day,2560,19655.94
Improperly disposed solid waste,Tons per day,2561,20069.54082
Improperly disposed solid waste,Tons per day,2562,17481.80912
Improperly disposed solid waste,Tons per day,2563,21526.72
Improperly disposed solid waste,Tons per day,2564,21387.0
Improperly disposed solid waste,Tons per day,2565,19319.0
Improperly disposed solid waste,Tons per day,2566,20433.0
Properly disposed solid waste,Tons per day,2556,20511.05329
Properly disposed solid waste,Tons per day,2557,21067.98101
Properly disposed solid waste,Tons per day,2558,22862.67
Properly disposed solid waste,Tons per day,2559,26220.76573
Properly disposed solid waste,Tons per day,2560,32021.98
Properly disposed solid waste,Tons per day,2561,29724.67
Properly disposed solid waste,Tons per day,2562,26826.81
Properly disposed solid waste,Tons per day,2563,24961.66
Properly disposed solid waste,Tons per day,2564,25425.0
Properly disposed solid waste,Tons per day,2565,26889.0
Properly disposed solid waste,Tons per day,2566,27870.0
