เขต,1/10/2553,1/11/2553,1/12/2553,1/1/2554,1/2/2554,1/3/2554,1/4/2554,1/5/2554,1/6/2554,1/7/2554,1/8/2554,1/9/2554,1/10/2554,1/11/2554,1/12/2554,1/1/2555,1/2/2555,1/3/2555,1/4/2555,1/5/2555,1/6/2555,1/7/2555,1/8/2555,1/9/2555,1/10/2555,1/11/2555,1/12/2555,1/1/2556,1/2/2556,1/3/2556,1/4/2556,1/5/2556,1/6/2556,1/7/2556,1/8/2556,1/9/2556,1/10/2556,1/11/2556,1/12/2556,1/1/2557,1/2/2557,1/3/2557,1/4/2557,1/5/2557,1/6/2557,1/7/2557,1/8/2557,1/9/2557,1/10/2557,1/11/2557,1/12/2557,1/1/2558,1/2/2558,1/3/2558,1/4/2558,1/5/2558,1/6/2558,1/7/2558,1/8/2558,1/9/2558,1/10/2558,1/11/2558,1/12/2558,1/1/2559,1/2/2559,1/3/2559,1/4/2559,1/5/2559,1/6/2559,1/7/2559,1/8/2559,1/9/2559,1/10/2559,1/11/2559,1/12/2559,1/1/2560,1/2/2560,1/3/2560,1/4/2560,1/5/2560,1/6/2560,1/7/2560,1/8/2560,1/9/2560,1/10/2560,1/11/2560,1/12/2560,1/1/2561,1/2/2561,1/3/2561,1/4/2561,1/5/2561,1/6/2561,1/7/2561,1/8/2561,1/9/2561,1/10/2561,1/11/2561,1/12/2561,1/1/2562,1/2/2562,1/3/2562,1/4/2562,1/5/2562,1/6/2562,1/7/2562,1/8/2562,1/9/2562,1/10/2562,1/11/2562,1/12/2562,1/1/2563,1/2/2563,1/3/2563,1/4/2563,1/5/2563,1/6/2563,1/7/2563,1/8/2563,1/9/2563,1/10/2563,1/11/2563,1/12/2563,1/1/2564,1/2/2564,1/3/2564,1/4/2564,1/5/2564,1/6/2564,1/7/2564,1/8/2564,1/9/2564,1/10/2564,1/11/2564,1/12/2564,1/1/2565,1/2/2565,1/3/2565,1/4/2565,1/5/2565,1/6/2565,1/7/2565,1/8/2565,1/9/2565
ลาดพร้าว,"4,951.56",4356.84 ,"4,453.68","4,388.07",4235.09 ,4831.92 ,"4,581.41","5,188.95","5,049.32","5,147.03","5,307.33","4,948.12","4,046.22","5,041.93","5,065.08","5,060.21","4,538.49","4,810.82","4,746.09","5,353.12","5,135.06","5,232.54","5,177.70","5,211.81","5,243.99","4,886.09","5,036.12","5,054.29","4,651.24",4925.57 ,4872.57 ,5299.02 ,"5,490.62","5,405.82","5,399.16","5,411.45","5,427.05","4,845.22","4,788.57","4,871.26","4,507.66",5027.94 ,4931.51 ,5385.07 ,"5,318.66","5,341.73","5,645.68","5,045.88","5,291.69","4,874.14","5,176.86","5,268.47","5,080.43",5762.64 ,5351.57 ,5654.72 ,"5,725.69","5,904.31","5,818.75","5,404.02","5,731.40","5,210.66","5,171.24","5,492.68","5,213.83",5565.48 ,5344.41 ,6016.82 ,"6,421.35","6,312.06","6,240.03","6,217.18","6,331.14","5,759.70","5,773.32","5,888.81","5,141.32",6103.91 ,5726.88 ,6677.34 ,"6,533.87","6,825.20","6,764.03","6,548.80","6,657.93","6,091.23","6,449.89","6,432.39","6,043.82",6643.20 ,6291.32 ,7015.59 ,"6,965.01","6,870.24","7,051.50","6,918.61","6,323.17","6,603.27","6,508.69","6,028.78","6,494.95","6,126.78","6,599.32","6,704.26","6,777.95","6,890.08","6,436.84","78,489.94","6,162.88","5,871.82","5,808.83","4,851.50","4,968.26","5,150.68","5,877.31","6,007.42","6,022.53","5,861.51","5,785.84","68,454.66","5,826.01","5,318.56","5,403.33","5,085.53","5,099.27","5,940.82","5,749.88","6,055.78","5,459.95","5,519.70","5,576.19","5,522.86","5,574.77","5,617.03","5,360.81","5,095.58","5,133.11","5,786.66","5,459.90","6,216.49","6,117.18","6,110.70","6,103.11","6,041.57"
วังทองหลาง,"5,992.69",5295.81 ,"5,698.45","5,612.13",5380.35 ,6134.51 ,"5,638.78","6,460.26","6,223.03","6,365.64","6,404.96","6,012.28","5,828.13","6,656.02","6,751.86","6,681.70","6,304.72","6,459.78","6,360.33","6,899.69","6,584.42","6,737.30","6,873.15","6,837.76","7,171.14","6,633.98","6,654.86","6,831.39","6,478.90",6892.85 ,6622.32 ,6928.20 ,"7,055.71","7,268.95","7,115.78","6,998.76","7,128.43","6,676.95","6,433.13","6,739.88","6,189.79",7177.61 ,6713.54 ,7310.71 ,"7,167.49","7,196.36","7,202.92","6,840.23","7,485.97","6,606.86","6,721.93","6,449.64","5,787.07",6396.12 ,5709.79 ,6211.17 ,"6,474.20","6,582.74","6,872.30","6,620.13","7,123.15","6,581.78","6,566.38","6,592.66","6,306.57",6920.23 ,6240.96 ,6967.76 ,"7,322.68","7,188.21","7,188.59","6,992.64","7,063.70","6,755.65","6,507.41","6,602.38","6,223.91",6996.34 ,6549.91 ,7650.71 ,"7,444.02","7,593.06","7,455.65","7,003.95","7,061.80","6,937.28","6,933.94","6,914.36","6,512.04",7331.87 ,6805.94 ,7595.19 ,"7,287.36","7,138.37","7,374.49","7,150.08","6,776.24","6,894.93","7,010.82","6,433.98","6,996.19","6,639.68","7,028.83","6,831.28","7,129.14","7,260.33","7,071.34","83,431.20","6,801.91","6,600.73","6,459.75","5,845.90","6,490.77","7,439.24","6,944.58","6,250.90","6,304.55","6,153.10","6,225.07","78,484.77","6,231.07","5,755.57","5,632.49","5,762.84","5,607.90","6,245.31","6,091.10","6,513.32","5,870.52","6,175.39","6,169.87","5,915.61","6,060.45","5,567.37","5,499.32","5,541.84","5,474.27","6,115.10","5,663.98","6,394.88","6,407.11","6,312.33","6,313.80","6,335.13"
วัฒนา,"6,980.66",6579.15 ,"6,697.45","6,493.82",6418.72 ,7241.63 ,"6,651.18","7,737.24","7,614.59","7,608.56","7,366.10","7,401.90","7,298.34","7,735.19","7,802.76","7,916.86","7,853.03","8,280.30","7,659.10","8,445.37","8,206.88","8,446.65","8,305.82","8,470.05","8,645.05","8,263.52","8,462.55","8,438.09","8,025.00",8633.93 ,8259.55 ,9415.93 ,"9,083.88","9,134.66","9,106.28","8,966.62","8,703.81","8,496.16","8,293.99","8,288.92","7,723.32",8753.12 ,8241.81 ,8947.31 ,"8,877.64","8,749.83","8,966.37","8,508.42","8,947.35","8,229.37","8,453.71","8,488.64","7,923.10",8999.24 ,8450.77 ,9220.44 ,"9,148.12","9,029.44","9,202.03","8,816.39","9,031.23","8,775.21","8,765.83","6,903.60","8,536.13",9231.04 ,8476.07 ,9011.58 ,"9,248.98","9,343.63","9,745.24","9,381.24","9,258.24","8,974.77","8,959.06","8,836.51","8,183.21",9173.00 ,8578.20 ,9619.91 ,"9,395.81","9,334.13","9,224.41","8,948.07","8,715.10","8,352.22","8,369.47","8,563.75","7,935.29",9015.92 ,8399.55 ,9048.93 ,"9,148.34","9,293.35","9,531.48","9,005.46","8,703.47","8,967.86","8,998.46","8,670.98","9,548.67","9,185.32","9,549.25","9,487.40","10,032.30","10,158.20","9,209.42","111,445.32","8,821.41","8,959.94","9,149.03","8,253.07","8,374.16","6,977.34","7,582.33","7,088.09","7,055.59","7,240.59","7,169.55","95,834.61","7,220.81","6,851.68","6,972.06","6,293.92","6,302.20","7,340.02","6,503.57","6,649.26","6,476.16","6,201.69","6,129.27","6,291.95","6,629.22","6,545.25","6,850.92","6,684.68","6,492.93","7,342.84","6,863.95","7,747.94","7,753.01","8,189.70","8,306.71","8,374.35"
สวนหลวง,"5,599.35",5111.49 ,"5,321.79","5,149.34",5147.32 ,5794.32 ,"5,406.74","6,218.55","5,961.36","6,049.65","6,346.36","6,218.10","5,634.77","6,486.25","6,408.71","6,425.93","6,285.44","6,640.21","6,198.71","6,909.94","6,556.38","6,715.53","6,841.15","6,851.06","7,039.88","6,453.42","6,458.75","6,633.01","6,243.21",6822.92 ,6692.87 ,7471.85 ,"7,510.14","7,800.61","7,440.86","7,074.81","7,321.13","6,852.24","6,574.02","6,930.00","6,522.62",7312.95 ,6964.97 ,7632.26 ,"7,720.17","7,607.33","7,519.18","7,260.73","7,758.30","6,903.88","7,103.52","7,045.94","6,701.33",7408.96 ,6917.63 ,7311.87 ,"7,552.96","7,330.25","7,370.55","7,325.41","7,419.69","7,040.56","6,948.87","5,227.81","6,779.94",7395.01 ,6757.04 ,7332.25 ,"7,874.32","7,615.70","7,712.58","7,547.34","7,750.27","7,276.14","7,202.14","7,205.90","6,350.74",7476.10 ,6901.92 ,8044.25 ,"7,701.62","7,980.22","7,545.33","7,121.84","7,142.60","6,758.44","6,648.98","6,902.59","6,354.12",7083.10 ,6920.39 ,7775.62 ,"7,582.82","7,578.08","7,587.66","7,040.22","6,800.40","6,707.97","6,835.96","6,363.59","7,039.01","6,727.38","7,214.56","6,979.13","7,415.14","7,673.07","7,201.74","84,387.80","6,900.05","6,920.26","7,153.60","6,702.24","7,238.94","8,157.90","8,230.50","7,234.07","6,745.45","6,719.60","6,840.82","86,253.92","6,520.90","6,122.45","6,199.94","6,284.25","5,972.30","6,976.76","6,533.59","7,211.69","6,798.95","6,791.96","6,775.22","6,589.84","6,575.19","6,315.44","6,255.24","6,312.32","6,189.48","6,739.51","6,398.17","7,169.42","7,128.75","7,506.55","7,478.35","7,410.07"
สะพานสูง,"2,696.35",2453.38 ,"2,496.78","2,519.40",2414.83 ,2905.18 ,"2,683.11","2,983.20","2,859.27","2,957.65","2,993.08","2,823.50","2,822.98","3,023.39","3,099.05","3,190.65","3,006.38","3,191.57","3,054.60","3,271.94","3,261.07","3,301.46","3,311.94","3,350.60","3,405.90","3,293.50","3,316.06","3,369.83","3,067.55",3427.35 ,3241.58 ,3578.80 ,"3,677.61","3,874.34","3,760.47","3,652.99","3,720.05","3,407.04","3,494.12","3,638.16","3,298.75",3659.75 ,3499.97 ,3789.01 ,"3,774.45","3,774.83","3,730.65","3,628.30","3,843.69","3,353.97","3,492.41","3,546.41","3,379.12",3750.96 ,3427.52 ,3695.30 ,"3,657.15","3,719.74","3,691.05","3,570.52","3,733.18","3,507.13","3,589.47","3,701.42","3,464.34",3792.88 ,3516.52 ,3790.21 ,"3,986.88","3,893.15","3,965.42","3,878.92","3,928.59","3,619.55","3,577.59","3,679.97","3,306.89",3826.23 ,3591.16 ,4194.80 ,"4,113.90","4,345.71","4,145.05","3,773.68","3,884.60","3,680.13","3,835.02","3,668.61","3,461.10",3929.24 ,3751.70 ,4200.50 ,"3,905.95","3,999.30","4,142.35","3,860.00","3,629.60","3,704.26","3,806.49","3,521.40","3,777.55","3,632.97","3,850.21","3,816.20","3,838.90","3,997.37","3,767.55","45,259.96","3,602.49","3,592.14","3,642.96","3,298.30","3,643.22","4,580.18","3,797.42","3,569.27","3,451.29","3,443.48","3,428.39","44,001.69","3,392.71","3,090.59","3,274.39","3,337.97","3,350.83","3,673.41","3,710.41","3,939.02","3,733.21","3,992.35","3,856.57","3,750.99","3,755.37","3,558.04","3,513.95","3,681.86","3,425.71","3,729.66","3,607.72","4,362.42","4,167.25","4,375.64","4,294.42","4,145.56"
สัมพันธวงศ์,"1,863.38",1647.80 ,"1,869.99","1,821.81",1689.46 ,1848.44 ,"1,632.51","1,784.13","1,769.82","1,794.91","1,736.83","1,783.27","1,904.41","1,685.88","1,973.71","1,962.76","1,784.62","1,863.88","1,679.41","1,801.70","1,770.30","1,828.54","1,867.20","1,822.40","1,948.55","1,775.26","1,854.83","1,912.89","1,829.19",1859.88 ,1617.84 ,1736.74 ,"1,758.92","1,754.93","1,798.90","1,805.07","1,884.01","1,679.25","1,684.63","1,773.28","1,605.75",1711.25 ,1574.81 ,1621.67 ,"1,651.66","1,804.94","1,865.82","1,773.89","1,820.03","1,744.92","1,865.49","1,792.72","1,839.31",1891.15 ,1634.52 ,1793.77 ,"1,784.45","1,745.44","1,785.12","1,660.29","1,836.91","1,656.07","1,698.57","1,765.83","1,721.87",1741.41 ,1535.04 ,1625.88 ,"1,658.99","1,710.95","1,813.38","1,637.07","1,774.28","1,609.01","1,823.32","1,878.26","1,626.10",1764.26 ,1574.67 ,1760.82 ,"1,677.65","1,735.69","1,717.43","1,656.51","1,784.02","1,662.08","1,777.21","1,729.14","1,723.51",1711.08 ,1548.76 ,1705.14 ,"1,621.48","1,650.86","1,745.57","1,503.75","1,578.43","1,706.84","1,729.74","1,659.36","1,675.96","1,541.68","1,631.67","1,626.57","1,688.97","1,827.96","1,701.51","20,023.68","1,621.33","1,749.71","1,661.39","1,308.88","1,241.74",994.61,"1,153.49","1,212.14","1,223.65","1,247.00","1,170.16","16,324.42","1,269.09","1,216.29","1,258.18","1,157.65","1,183.53","1,259.77","1,096.72","1,076.58","1,009.07",879.63,938.3,942.78,"1,051.64","1,033.85","1,158.52","1,162.16","1,043.68","1,103.49","1,042.71","1,203.13","1,196.40","1,231.00","1,244.89","1,244.06"
สาทร,"4,880.14",4586.67 ,"4,769.65","4,742.46",4461.53 ,4978.48 ,"4,506.21","4,923.26","4,993.59","4,689.54","4,689.99","4,452.88","4,884.65","4,801.94","5,520.60","5,305.52","4,904.50","5,225.97","4,905.81","5,435.80","5,380.84","5,409.69","5,480.84","5,370.72","5,487.54","5,255.61","5,270.10","5,256.50","4,912.68",5361.59 ,4957.42 ,5169.24 ,"5,309.22","5,409.04","5,373.12","5,366.91","5,601.95","5,411.19","5,309.86","5,407.56","4,990.40",5507.31 ,5282.44 ,5503.43 ,"5,541.11","5,724.36","5,645.10","5,422.84","5,771.52","5,459.96","5,373.68","5,204.07","5,252.65",5643.41 ,5284.30 ,5650.32 ,"5,574.11","5,635.56","5,620.78","5,525.03","5,737.13","5,514.35","5,407.83","5,377.30","5,150.94",5617.75 ,5103.67 ,5489.43 ,"5,545.00","5,564.50","5,831.86","5,543.41","5,576.89","5,282.97","5,415.80","5,479.11","4,883.98",5629.97 ,5099.89 ,5791.18 ,"5,675.07","5,874.11","5,807.13","5,463.23","5,646.62","5,319.93","5,152.63","5,022.90","4,679.32",5009.03 ,4735.55 ,5267.05 ,"5,027.43","5,004.02","5,219.52","4,719.60","4,886.74","4,885.85","5,062.46","4,770.72","5,099.09","4,762.05","5,067.48","4,915.43","5,077.59","5,310.94","5,218.50","60,073.56","4,844.64","4,931.76","4,707.85","4,198.99","4,418.39","4,064.83","4,263.66","4,101.37","4,046.65","4,098.48","4,050.65","53,042.00","4,076.99","3,932.27","3,992.25","3,768.17","3,836.42","4,276.28","3,883.28","4,098.33","3,808.55","3,794.28","3,616.37","3,647.11","3,666.81","3,541.03","3,581.70","3,614.80","3,377.22","3,749.28","3,496.10","3,896.69","4,081.17","3,937.72","4,091.38","4,037.81"
สายไหม,"5,257.08",4692.43 ,"4,700.10","4,615.57",4573.86 ,5305.16 ,"5,021.91","5,748.64","5,384.08","5,289.07","5,243.81","4,862.57","2,595.35","4,643.67","12,048.90","6,440.45","5,320.65","5,508.43","5,216.93","5,953.10","5,768.64","5,912.39","5,936.24","5,730.69","5,759.55","5,356.51","5,548.47","5,614.57","5,238.00",5543.44 ,5312.03 ,5714.73 ,"6,000.45","5,820.17","5,898.17","5,776.70","5,935.29","5,410.72","5,420.88","5,578.98","5,160.31",5698.88 ,5637.65 ,6100.66 ,"6,060.16","6,424.06","6,325.40","5,850.83","5,994.39","5,579.78","5,910.81","5,708.82","5,458.06",6158.96 ,5726.91 ,6182.52 ,"6,307.36","6,362.41","6,419.96","6,097.88","6,321.51","5,381.48","5,574.20","6,057.28","5,775.37",6214.19 ,5810.62 ,6572.36 ,"7,068.56","6,902.24","6,788.88","6,870.78","6,802.92","6,390.34","6,249.80","6,502.73","5,801.61",6946.58 ,6453.54 ,7598.65 ,"7,436.86","7,742.31","7,610.73","7,186.80","7,319.78","6,860.28","6,752.96","7,249.38","6,555.19",7441.21 ,6997.78 ,8052.39 ,"7,471.77","7,643.35","7,730.67","7,229.36","6,623.74","6,667.04","7,281.79","6,623.25","7,021.04","6,831.01","7,073.52","6,931.43","7,299.94","7,411.63","6,950.89","84,242.00","6,634.63","6,504.22","6,558.22","5,271.04","5,651.58","6,116.25","6,632.00","6,488.07","6,371.39","6,326.78","6,189.12","75,720.39","6,430.07","5,776.86","5,830.85","5,914.39","5,611.60","6,456.18","6,424.38","6,706.32","6,262.46","6,362.85","6,616.89","6,458.74","6,400.77","5,949.03","5,858.29","5,890.52","5,743.69","6,296.94","6,148.79","6,912.24","6,909.64","6,492.34","6,701.70","7,251.47"
หนองแขม,"5,197.82",4585.15 ,"4,811.50","4,660.76",4468.71 ,5295.25 ,"4,814.22","5,340.35","5,065.15","5,235.27","5,402.83","5,015.58","3,003.65","5,390.47","7,188.20","5,494.38","4,899.44","5,111.36","4,994.84","5,298.75","5,242.75","5,317.26","5,205.99","5,309.91","5,491.38","5,099.94","5,065.84","5,068.10","4,698.11",5144.73 ,4965.96 ,5208.40 ,"5,336.89","5,452.99","5,448.70","5,489.11","5,606.04","5,026.31","4,882.57","4,895.08","4,777.88",5147.86 ,4888.25 ,5322.79 ,"5,362.05","5,776.96","5,924.15","5,637.14","5,949.87","5,144.62","5,228.14","4,951.51","4,579.50",5352.47 ,5235.75 ,5505.38 ,"5,465.53","5,320.67","5,310.12","5,280.60","5,799.66","5,442.15","5,168.55","5,388.52","4,910.29",5244.15 ,4289.92 ,4757.87 ,"5,094.58","5,393.00","5,186.02","4,705.84","4,532.88","5,190.45","4,707.83","4,794.52","4,495.28",5051.06 ,4975.15 ,5614.72 ,"4,658.02","5,669.65","5,773.15","5,366.47","5,533.07","5,266.14","5,058.98","5,300.10","5,024.72",5684.90 ,4998.62 ,5698.06 ,"5,379.47","5,332.05","5,631.77","5,362.10","5,169.05","5,360.20","5,387.43","5,158.86","5,450.84","5,301.36","5,494.16","5,255.56","5,390.94","5,475.51","5,403.89","64,539.67","4,908.92","4,891.73","4,999.33","4,592.30","4,963.99","5,053.23","5,445.51","5,493.33","5,235.86","5,310.02","5,324.71","61,542.40","5,409.67","4,922.77","5,085.65","4,837.09","4,755.18","5,300.83","5,185.41","5,706.73","5,292.87","5,517.90","5,556.41","5,331.43","5,562.28","5,154.65","5,123.17","5,131.82","5,025.02","5,305.58","5,052.39","5,615.23","5,460.58","5,356.78","5,479.67","5,207.26"
หนองจอก,"2,714.11",2487.79 ,"2,496.04","2,469.99",2364.82 ,2778.84 ,"2,577.12","2,931.83","2,844.34","2,977.61","2,904.34","2,756.93","2,626.20","2,870.07","2,937.12","2,959.41","2,791.05","3,084.46","2,912.73","3,378.55","3,262.94","3,308.69","3,450.83","3,355.88","3,357.72","3,179.65","3,193.33","3,327.70","2,966.64",3229.57 ,3230.33 ,3420.57 ,"3,684.58","3,680.39","3,579.75","3,455.39","3,518.35","3,170.17","3,123.27","3,390.52","3,167.14",3650.71 ,3638.70 ,3934.16 ,"4,016.57","4,052.68","3,857.09","3,827.31","3,978.31","3,444.93","3,558.58","3,569.97","3,236.99",3729.52 ,3505.68 ,3742.34 ,"3,585.81","3,665.82","3,817.52","3,644.12","3,746.49","3,433.37","3,433.79","3,594.54","3,361.12",3619.16 ,3328.50 ,3642.74 ,"3,806.43","3,807.34","3,890.74","3,881.52","3,947.79","3,659.42","3,550.73","3,732.10","3,429.53",3872.35 ,3850.16 ,4255.87 ,"4,208.22","4,355.04","4,327.65","4,019.92","4,169.56","3,861.49","3,841.04","4,099.72","3,662.99",4135.21 ,4023.82 ,4572.32 ,"4,416.93","4,529.43","4,535.39","4,216.86","3,885.19","3,932.61","4,143.94","3,779.40","4,035.41","4,028.18","4,178.10","4,168.33","4,229.71","4,357.29","4,311.83","49,359.26","3,983.56","3,998.13","4,086.60","3,573.90","3,984.96","4,985.29","4,320.70","4,215.92","4,161.58","4,112.83","3,983.72","49,776.97","4,133.59","3,790.53","3,926.83","4,035.55","3,975.05","4,386.26","4,694.25","4,779.47","4,489.32","4,707.44","4,829.15","4,718.62","4,656.02","4,170.63","4,088.31","4,419.06","4,178.93","4,531.65","4,594.48","5,052.81","4,839.88","4,958.46","4,964.61","4,844.97"
หลักสี่,"4,659.45",4265.05 ,"4,267.88","4,156.19",4059.24 ,4675.71 ,"4,201.06","4,787.13","4,642.13","4,703.78","4,733.37","4,473.46","2,623.13","4,053.66","8,540.78","5,102.15","4,397.41","4,560.98","4,350.86","4,930.00","4,710.42","4,908.67","5,271.89","5,058.17","4,981.22","4,721.97","4,743.95","4,841.77","4,427.07",4681.92 ,4393.94 ,4872.25 ,"4,955.88","4,900.91","4,870.22","4,841.32","4,857.27","4,513.41","4,364.17","4,436.78","4,197.21",4668.10 ,4453.20 ,4858.74 ,"4,777.03","4,963.61","4,873.08","4,573.73","4,731.36","4,426.00","4,461.46","4,633.67","4,379.53",4979.20 ,4684.13 ,4923.61 ,"4,991.12","5,027.96","5,029.62","4,850.51","5,069.25","4,584.38","4,432.60","4,715.32","4,535.26",4935.36 ,4620.62 ,5064.43 ,"5,284.09","5,358.97","5,429.40","5,162.12","5,599.63","5,150.76","4,873.31","5,021.86","4,513.06",5504.51 ,4978.52 ,5730.45 ,"5,730.01","5,769.85","5,991.87","5,816.69","5,644.96","5,538.57","5,349.55","5,578.56","5,359.58",6034.83 ,5452.70 ,6223.68 ,"5,770.65","5,651.80","5,755.89","5,485.50","5,362.54","5,302.66","5,546.93","5,129.62","5,631.22","5,179.82","5,540.66","5,521.86","5,622.55","5,794.40","5,438.88","65,911.42","5,104.29","4,351.76","4,257.04","3,353.99","3,934.74","4,271.36","4,519.52","4,654.26","4,613.81","4,513.75","4,467.55","53,492.38","4,589.90","4,197.86","4,252.82","4,178.78","3,942.83","4,617.44","4,266.55","4,337.15","4,068.65","4,286.57","4,315.87","4,262.39","4,277.00","4,156.14","4,078.42","4,011.13","4,008.29","4,346.31","4,161.24","4,668.11","4,669.70","4,418.51","4,630.30","4,778.31"
ห้วยขวาง,"4,627.80",4265.03 ,"4,460.93","4,274.10",4169.24 ,4713.49 ,"4,374.95","4,868.89","4,858.24","4,886.38","4,679.19","4,357.00","4,834.59","4,879.69","5,454.70","5,537.52","5,455.54","5,903.04","5,425.32","5,946.99","5,678.16","5,820.62","5,736.33","5,821.75","5,973.61","5,722.39","5,982.17","5,968.63","5,495.98",6279.43 ,5935.19 ,6197.93 ,"6,403.96","6,374.02","6,142.79","6,159.85","6,264.42","5,855.83","5,888.53","6,041.49","5,625.35",6328.96 ,5982.68 ,6572.55 ,"6,497.95","6,341.54","6,108.40","6,005.65","6,616.71","5,948.73","6,182.49","6,056.06","5,693.74",6465.99 ,5967.57 ,6425.74 ,"6,158.71","5,843.41","5,840.77","4,923.40","5,484.39","5,598.70","5,614.51","5,850.85","5,481.23",6823.78 ,5922.93 ,6087.73 ,"6,344.50","6,222.27","6,368.79","6,052.14","6,192.23","6,020.48","5,885.53","5,929.02","5,530.33",6403.72 ,6005.85 ,6874.28 ,"6,650.45","6,784.24","6,813.22","6,628.55","6,834.21","6,577.55","6,580.73","6,730.20","6,339.47",7240.80 ,6778.21 ,7294.57 ,"7,105.93","7,130.40","7,256.16","7,050.10","6,722.30","6,806.42","6,814.12","6,459.37","6,889.90","6,697.88","6,863.95","6,911.50","6,884.43","7,225.79","6,881.21","82,185.68","6,840.50","6,816.35","6,758.82","5,996.07","5,360.30","6,239.52","6,044.47","5,665.15","5,614.17","5,699.67","5,932.27","74,037.18","5,871.63","5,438.06","5,719.69","5,373.47","5,345.67","6,089.10","5,585.89","5,769.33","5,485.02","5,626.15","5,381.43","5,420.96","5,613.54","5,340.14","5,520.01","5,461.18","5,400.03","6,100.35","5,677.50","6,565.80","6,653.60","6,858.41","6,771.03","6,839.15"
อื่นๆ,"17,342.55","16,608.80","15,968.24","15,118.16","14,659.33","18,002.01","15,474.51","17,831.28","17,786.84","18,481.23","18,931.04","18,609.76","15,141.17","16,345.22","56,651.52","19,048.21","18,771.92","17,518.70","15,423.95","20,119.79","18,483.08","19,092.31","18,696.93","18,593.84","17,606.50","16,632.72","16,308.87","16,956.96","15,715.81",17617.68 ,14171.33 ,15850.15 ,"18,212.98","17,848.83","18,876.35","18,160.46","18,094.64","19,606.49","15,820.71","15,942.20","14,390.43",16796.10 ,14749.98 ,20605.69 ,"18,607.27","20,321.27","18,034.58","17,972.70","19,027.29","18,176.77","18,285.47","16,186.11","15,937.86",18212.81 ,17225.02 ,18377.44 ,"18,561.20","18,003.65","19,246.70","19,549.90","20,104.76","18,708.80","17,132.85","16,668.22","15,165.98",14386.61 ,13240.04 ,14917.84 ,"16,470.78","16,673.11","18,260.57","17,793.17","17,356.82","17,486.76","16,571.21","15,272.71","14,492.04",17413.72 ,15018.39 ,17954.31 ,"18,142.49","18,453.73","17,827.93","16,926.40","18,217.05","17,315.44","16,760.77","19,893.00","17,504.83",17906.48 ,15837.70 ,19220.53 ,"17,133.26","17,591.82","18,919.44","18,327.36","19,408.12","18,117.02","18,418.48","16,524.14","16,894.36","15,684.88","16,799.62","17,394.97","17,014.24","18,586.07","19,262.81","213,663.95","19,669.57","22,548.72","23,896.72","17,982.25","11,618.80","12,343.80","10,548.33","12,802.85","12,278.08","13,132.37","12,150.80","190,932.75","12,604.00","12,105.15","12,699.51","11,199.05","11,069.42","12,357.45","11,468.99","12,379.09","11,942.67","10,753.62","10,827.65","10,652.09","11,690.49","13,020.72","12,050.78","12,021.53","11,538.84","13,003.62","12,228.83","14,233.01","14,094.05","12,523.05","13,117.00","13,093.99"
